txn_id,customer_id,amount,txn_date,txn_type
50060,10388,20.54,2025-09-30,credit
50061,10138,36.51,2025-05-31,debit
50062,10184,514.7,2025-08-24,debit
50063,10401,344.6,2024-12-09,credit
50064,10330,87.41,2025-02-12,credit
50065,10273,213.32,2024-05-29,credit
50066,10340,154.12,2025-07-13,debit
50067,10472,226.1,2024-03-20,debit
50068,10069,229.56,2024-12-03,debit
50069,10034,198.17,2025-06-25,debit
50070,10262,61.88,2025-10-24,credit
50071,10053,7.96,2025-04-23,debit
50072,10450,121.6,2024-12-17,debit
50073,10205,443.23,2024-06-04,debit
50074,10126,168.56,2026-01-03,credit
50075,10235,357.22,2025-03-13,credit
50076,10043,956.49,2025-11-09,debit
50077,10240,35.73,2025-09-12,debit
50078,10459,235.39,2025-01-12,credit
50079,10371,224.35,2024-09-20,debit
50080,10111,781.96,2024-08-09,debit
50081,10249,848.12,2024-06-15,debit
50082,10151,232.11,2025-12-01,debit
50083,10183,55.84,2024-08-23,debit
50084,10336,320.45,2025-11-11,credit
50085,10095,22.64,2024-08-05,debit
50086,10459,303.46,2024-11-21,debit
50087,10374,482.03,2025-09-23,credit
50088,10400,96.52,2024-04-21,credit
50089,10008,199.19,2025-06-24,debit
50090,10388,112.47,2025-07-23,debit
50091,10360,115.17,2024-06-17,debit
50092,10388,74.32,2025-12-30,debit
50093,10184,287.21,2025-02-16,debit
50094,10281,550.33,2025-05-23,debit
50095,10195,565.2,2025-03-22,debit
50096,10352,38.42,2026-02-21,debit
50097,10195,415.48,2024-03-22,debit
50098,10155,267.45,2025-09-08,debit
50099,10093,58.29,2025-04-27,debit
50100,10160,13.93,2025-01-29,debit
50101,10434,62.39,2025-05-20,debit
50102,10061,486.56,2026-01-23,debit
50103,10122,200.58,2025-10-10,debit
50104,10051,255.35,2026-01-13,debit
50105,10403,59.45,2025-08-06,debit
50106,10277,254.16,2024-07-23,credit
50107,10005,5.7,2025-11-04,credit
50108,10466,94.1,2024-06-02,debit
50109,10092,197.1,2025-07-12,credit
50110,10170,31.59,2025-06-05,debit
50111,10317,346.33,2024-11-09,debit
50112,10022,53.58,2025-12-23,credit
50113,10405,211.27,2025-01-19,debit
50114,10326,103.91,2025-06-07,debit
50115,10001,181.29,2025-08-07,debit
50116,10133,22.73,2024-09-16,debit
50117,10233,3.41,2025-01-03,debit
50118,10012,480.62,2024-11-24,debit
50119,10346,62.84,2024-10-20,debit
50120,10046,342.6,2025-10-28,debit
50121,10034,1467.8,2024-06-28,debit
50122,10433,47.51,2025-06-02,credit
50123,10078,61.62,2025-12-26,credit
50124,10218,217.45,2025-03-28,debit
50125,10301,673.06,2025-11-25,debit
50126,10411,494.95,2025-04-23,credit
50127,10073,139.78,2024-11-03,debit
50128,10282,317.06,2025-09-08,debit
50129,10249,29.18,2025-04-27,debit
50130,10047,758.3,2024-08-24,credit
50131,10121,666.82,2024-08-19,debit
50132,10214,35.76,2025-08-23,debit
50133,10239,71.17,2025-08-02,debit
50134,10056,21.11,2026-01-21,debit
50135,10350,63.41,2024-06-23,debit
50136,10107,338.52,2025-08-20,debit
50137,10319,95.06,2026-03-01,debit
50138,10048,18.51,2024-07-26,debit
50139,10061,83.78,2025-04-19,debit
50140,10337,796.74,2025-06-27,credit
50141,10026,198.68,2025-08-20,credit
50142,10292,107.63,2025-09-26,debit
50143,10257,36.43,2025-05-04,debit
50144,10008,856.28,2025-05-19,debit
50145,10113,343.91,2026-02-06,debit
50146,10355,66.11,2025-08-20,credit
50147,10253,14.53,2025-07-24,debit
50148,10180,11.66,2026-01-01,debit
50149,10207,25.65,2025-04-13,credit
50150,10303,173.87,2025-12-20,credit
50151,10127,528.35,2025-01-21,debit
50152,10056,137.33,2024-03-28,debit
50153,10214,370.23,2024-06-04,debit
50154,10014,118.08,2024-12-22,credit
50155,10474,246.6,2024-04-26,credit
50156,10028,263.26,2024-04-29,debit
50157,10471,38.22,2024-09-30,debit
50158,10078,89.64,2025-10-14,debit
50159,10216,202.84,2026-03-07,debit
50160,10386,14.66,2025-07-31,debit
50161,10365,89.74,2024-07-04,debit
50162,10154,153.06,2024-05-03,debit
50163,10014,1115.84,2025-10-13,credit
50164,10187,128.69,2024-08-15,debit
50165,10312,338.63,2025-04-18,debit
50166,10371,113.15,2024-12-06,debit
50167,10007,318.31,2025-02-12,credit
50168,10003,180.98,2025-06-12,debit
50169,10111,435.36,2025-07-25,credit
50170,10407,105.85,2025-05-03,debit
50171,10238,185.42,2024-08-29,credit
50172,10363,198.86,2025-07-05,credit
50173,10239,108.05,2024-12-28,debit
50174,10493,31.17,2025-03-27,credit
50175,10274,19.65,2025-10-22,debit
50176,10294,3.36,2025-08-09,debit
50177,10227,413.56,2025-08-07,debit
50178,10371,53.96,2024-04-22,debit
50179,10015,47.53,2024-12-22,credit
50180,10192,266.39,2025-01-17,credit
50181,10473,77.14,2025-10-16,debit
50182,10119,141.06,2025-08-01,debit
50183,10485,35.47,2026-02-23,debit
50184,10028,642.51,2024-04-27,debit
50185,10202,381.54,2025-09-13,debit
50186,10039,398.71,2024-08-14,credit
50187,10441,104.44,2025-12-14,debit
50188,10273,287.4,2025-12-07,debit
50189,10231,31.07,2025-02-05,credit
50190,10086,1.73,2024-08-30,debit
50191,10474,4.04,2025-06-25,debit
50192,10126,176.67,2025-08-19,debit
50193,10300,121.54,2024-12-12,debit
50194,10025,145.97,2025-05-23,credit
50195,10145,1.5,2025-09-09,debit
50196,10013,109.87,2024-08-09,debit
50197,10212,253.22,2025-08-30,debit
50198,10025,116.93,2024-08-07,debit
50199,10068,263.52,2025-02-10,credit
50200,10394,53.06,2026-03-07,credit
50201,10067,335.48,2024-05-12,credit
50202,10233,177.56,2026-02-20,debit
50203,10109,47.34,2025-09-07,debit
50204,10146,54.03,2024-06-14,debit
50205,10111,197.79,2024-04-17,debit
50206,10228,354.32,2024-10-09,debit
50207,10111,107.44,2024-09-28,debit
50208,10470,59.76,2024-07-14,credit
50209,10034,403.5,2025-11-27,debit
50210,10111,221.29,2024-03-23,debit
50211,10264,118.87,2025-02-22,debit
50212,10424,133.85,2026-02-02,debit
50213,10369,45.7,2024-04-17,debit
50214,10236,197.13,2026-01-26,debit
50215,10083,88.86,2025-05-29,debit
50216,10042,1087.29,2025-10-05,debit
50217,10425,130.86,2025-06-19,credit
50218,10101,133.06,2025-11-25,debit
50219,10006,166.87,2024-10-25,debit
50220,10180,497.2,2025-10-17,debit
50221,10282,322.71,2025-04-25,debit
50222,10320,119.98,2024-05-11,credit
50223,10226,253.67,2025-08-18,debit
50224,10443,176.49,2025-04-07,debit
50225,10440,135.6,2026-02-16,credit
50226,10315,42.72,2025-04-03,debit
50227,10365,124.7,2025-10-14,debit
50228,10454,56.42,2024-07-13,debit
50229,10229,492.65,2025-04-19,debit
50230,10377,81.72,2025-01-07,credit
50231,10289,608.41,2024-11-29,debit
50232,10437,152.31,2025-12-24,debit
50233,10150,199.69,2025-07-16,debit
50234,10277,156.59,2024-11-16,debit
50235,10198,27.71,2024-10-19,debit
50236,10070,94.26,2026-02-11,debit
50237,10112,20.88,2025-06-13,debit
50238,10004,195.08,2025-03-01,debit
50239,10350,118.43,2025-05-03,credit
50240,10331,301.0,2025-09-19,debit
50241,10446,49.81,2025-07-06,debit
50242,10318,35.96,2024-06-10,debit
50243,10350,104.29,2024-11-26,credit
50244,10095,522.33,2024-09-10,credit
50245,10152,247.87,2025-07-01,credit
50246,10311,108.57,2026-01-19,debit
50247,10137,145.66,2024-09-13,credit
50248,10247,17.59,2024-04-17,debit
50249,10387,834.36,2025-12-26,debit
50250,10243,219.57,2024-12-22,debit
50251,10031,67.21,2025-10-22,credit
50252,10040,176.29,2024-06-09,credit
50253,10229,23.19,2024-09-22,credit
50254,10036,675.32,2025-08-30,credit
50255,10408,38.42,2024-04-06,debit
50256,10223,208.84,2025-03-31,debit
50257,10006,56.33,2025-10-03,debit
50258,10322,252.86,2025-03-29,credit
50259,10468,299.96,2025-03-25,debit
50260,10220,223.82,2025-03-09,credit
50261,10075,190.64,2024-10-21,debit
50262,10004,446.0,2025-07-08,debit
50263,10335,16.38,2024-11-08,debit
50264,10134,80.37,2024-05-18,debit
50265,10118,57.08,2024-05-28,credit
50266,10369,884.8,2026-02-27,debit
50267,10094,98.66,2025-10-05,debit
50268,10486,263.81,2025-04-12,debit
50269,10435,230.86,2025-06-20,debit
50270,10062,47.67,2024-08-20,debit
50271,10441,54.62,2025-06-22,debit
50272,10194,66.06,2024-08-21,credit
50273,10335,105.91,2025-08-02,debit
50274,10203,53.4,2025-11-19,debit
50275,10392,3.97,2024-08-16,debit
50276,10026,423.04,2025-11-14,debit
50277,10435,674.0,2025-12-21,debit
50278,10173,83.58,2025-09-11,debit
50279,10300,82.65,2025-01-31,debit
50280,10133,1.42,2025-11-06,debit
50281,10326,228.04,2024-05-10,debit
50282,10410,349.1,2025-08-02,credit
50283,10118,31.71,2024-04-05,credit
50284,10324,34.79,2025-08-25,debit
50285,10275,312.21,2024-04-15,debit
50286,10212,191.57,2024-05-11,debit
50287,10225,9.18,2024-07-27,debit
50288,10020,194.86,2024-09-19,credit
50289,10113,73.9,2024-05-09,credit
50290,10140,92.0,2025-11-09,debit
50291,10047,293.7,2026-01-13,debit
50292,10001,333.13,2025-01-10,debit
50293,10090,102.28,2025-02-11,debit
50294,10142,588.07,2025-01-08,credit
50295,10320,104.33,2024-11-05,debit
50296,10038,295.54,2024-12-28,debit
50297,10293,132.28,2024-06-13,debit
50298,10382,455.64,2024-03-23,debit
50299,10139,476.67,2025-08-27,debit
50300,10356,18.3,2024-05-04,debit
50301,10333,551.32,2025-09-15,debit
50302,10491,349.21,2024-04-21,credit
50303,10259,313.38,2025-11-29,credit
50304,10161,44.86,2024-12-05,debit
50305,10390,327.07,2025-03-21,credit
50306,10178,379.6,2024-10-16,debit
50307,10010,68.26,2025-08-02,credit
50308,10261,608.4,2025-06-05,credit
50309,10407,10.23,2024-10-10,debit
50310,10138,32.48,2026-01-25,credit
50311,10172,154.26,2024-12-22,debit
50312,10386,171.51,2025-11-09,debit
50313,10013,207.21,2024-04-10,debit
50314,10168,3.42,2024-07-11,credit
50315,10130,645.62,2024-08-26,credit
50316,10084,9.12,2025-09-15,debit
50317,10321,30.88,2025-10-22,debit
50318,10319,2.82,2025-11-29,debit
50319,10101,167.34,2024-10-20,credit
50320,10329,538.44,2025-06-25,debit
50321,10273,219.29,2024-10-22,credit
50322,10265,345.93,2025-12-27,debit
50323,10459,2.67,2026-02-22,debit
50324,10399,156.18,2025-12-12,debit
50325,10408,123.08,2025-07-05,credit
50326,10038,138.22,2026-02-16,debit
50327,10419,14.99,2024-03-27,credit
50328,10094,230.68,2025-12-18,debit
50329,10095,139.92,2024-06-30,debit
50330,10305,289.76,2024-04-18,credit
50331,10069,132.83,2025-05-11,credit
50332,10318,32.36,2025-01-01,credit
50333,10444,208.97,2025-04-23,debit
50334,10236,37.84,2024-05-20,debit
50335,10434,411.76,2024-08-19,debit
50336,10334,189.93,2025-09-11,debit
50337,10373,34.21,2025-08-31,credit
50338,10376,655.82,2024-08-20,debit
50339,10459,146.11,2026-01-10,debit
50340,10137,15.14,2025-12-01,debit
50341,10418,197.15,2024-07-01,debit
50342,10076,58.39,2024-07-31,debit
50343,10483,325.62,2025-06-12,debit
50344,10035,340.55,2024-09-19,debit
50345,10001,772.15,2024-06-10,debit
50346,10296,139.38,2025-07-22,credit
50347,10320,121.38,2025-05-07,debit
50348,10406,280.06,2024-04-27,debit
50349,10060,28.42,2025-09-19,credit
50350,10320,158.34,2026-03-12,credit
50351,10349,158.04,2025-04-24,credit
50352,10328,18.75,2025-07-03,credit
50353,10267,108.25,2024-05-11,debit
50354,10361,383.85,2025-07-23,debit
50355,10229,387.8,2024-09-18,debit
50356,10270,20.9,2024-08-10,debit
50357,10316,19.02,2025-05-17,credit
50358,10286,60.95,2026-02-12,debit
50359,10291,415.51,2024-12-05,credit
50360,10213,27.6,2025-07-22,credit
50361,10165,254.59,2024-09-06,debit
50362,10005,21.33,2024-10-13,credit
50363,10339,195.18,2024-05-09,debit
50364,10379,88.03,2024-08-07,debit
50365,10078,311.1,2025-03-09,credit
50366,10410,53.23,2024-11-14,debit
50367,10062,203.89,2025-07-14,credit
50368,10132,53.75,2025-08-07,debit
50369,10089,250.12,2024-07-08,debit
50370,10237,413.78,2025-05-07,credit
50371,10042,27.12,2025-10-30,debit
50372,10089,402.87,2026-02-17,debit
50373,10402,180.07,2024-07-20,debit
50374,10296,27.19,2024-11-02,credit
50375,10328,111.56,2025-10-14,debit
50376,10295,35.08,2025-08-21,credit
50377,10104,241.03,2025-06-30,debit
50378,10014,284.48,2024-10-07,debit
50379,10288,22.36,2024-12-06,credit
50380,10179,141.1,2025-07-28,debit
50381,10125,337.07,2024-11-16,debit
50382,10422,550.28,2025-03-04,credit
50383,10353,144.11,2025-02-07,credit
50384,10023,600.27,2025-10-06,debit
50385,10063,153.44,2025-03-09,debit
50386,10143,100.24,2024-06-06,credit
50387,10481,377.04,2025-07-03,credit
50388,10153,135.84,2024-05-17,credit
50389,10145,127.69,2024-10-10,debit
50390,10225,134.79,2025-11-13,credit
50391,10495,375.18,2025-12-30,debit
50392,10450,356.69,2024-08-09,debit
50393,10462,103.34,2025-09-06,debit
50394,10309,81.08,2025-06-20,debit
50395,10104,135.43,2025-09-01,debit
50396,10104,170.09,2025-12-31,debit
50397,10435,54.45,2025-11-30,debit
50398,10039,315.93,2025-06-23,debit
50399,10435,133.29,2025-11-03,debit
50400,10198,81.31,2025-05-16,debit
50401,10134,22.59,2025-10-02,debit
50402,10067,54.58,2024-08-21,debit
50403,10391,596.29,2024-04-14,debit
50404,10179,72.8,2024-09-25,debit
50405,10456,36.99,2026-01-01,credit
50406,10042,123.49,2025-04-17,credit
50407,10448,73.37,2025-07-10,credit
50408,10500,7.16,2024-07-05,debit
50409,10015,78.06,2024-12-30,debit
50410,10111,157.1,2025-12-30,debit
50411,10157,160.46,2025-05-23,credit
50412,10289,88.18,2025-12-05,debit
50413,10500,118.59,2024-06-24,debit
50414,10478,673.46,2025-03-20,debit
50415,10231,94.75,2024-05-24,debit
50416,10411,59.74,2024-12-09,credit
50417,10420,55.8,2024-03-26,credit
50418,10157,122.41,2024-09-09,credit
50419,10038,285.02,2026-02-21,debit
50420,10441,46.13,2026-03-06,credit
50421,10097,247.09,2025-08-01,debit
50422,10485,4.28,2025-09-23,credit
50423,10411,108.58,2024-06-29,debit
50424,10439,299.1,2024-07-13,debit
50425,10289,82.72,2025-05-07,debit
50426,10254,165.9,2025-05-06,debit
50427,10196,45.88,2025-12-16,credit
50428,10086,270.96,2024-07-03,credit
50429,10322,10.74,2025-09-05,debit
50430,10010,382.84,2026-02-03,debit
50431,10005,44.18,2024-04-17,debit
50432,10123,414.93,2025-09-26,credit
50433,10330,86.94,2024-09-04,debit
50434,10353,256.52,2024-09-28,debit
50435,10118,76.9,2024-09-06,debit
50436,10294,472.7,2025-07-20,debit
50437,10397,27.08,2025-04-01,credit
50438,10159,39.33,2025-10-18,debit
50439,10303,135.86,2024-12-27,debit
50440,10228,17.1,2026-01-18,credit
50441,10365,43.63,2025-12-23,debit
50442,10216,575.65,2024-04-17,debit
50443,10436,750.06,2025-07-06,debit
50444,10184,94.4,2024-06-02,debit
50445,10015,513.53,2026-02-24,debit
50446,10157,157.41,2025-06-25,credit
50447,10136,62.87,2024-10-04,credit
50448,10261,242.4,2025-09-12,credit
50449,10157,215.12,2025-05-15,credit
50450,10047,904.26,2025-05-09,debit
50451,10324,61.59,2024-12-19,debit
50452,10332,222.98,2024-12-20,debit
50453,10173,10.69,2025-05-22,credit
50454,10130,24.13,2026-01-04,debit
50455,10411,0.79,2024-05-14,debit
50456,10095,1505.04,2024-09-18,debit
50457,10115,324.17,2026-02-28,debit
50458,10243,309.03,2024-08-28,debit
50459,10420,142.56,2025-01-09,credit
50460,10292,71.35,2025-11-06,debit
50461,10282,32.8,2024-11-26,credit
50462,10299,67.0,2025-10-19,debit
50463,10283,94.31,2025-12-27,credit
50464,10069,282.37,2024-03-23,credit
50465,10148,155.16,2025-12-23,credit
50466,10011,16.13,2025-02-03,debit
50467,10254,3.64,2024-09-03,debit
50468,10330,21.59,2025-03-30,debit
50469,10360,105.7,2024-10-10,debit
50470,10038,541.19,2024-07-06,debit
50471,10134,202.89,2024-07-12,credit
50472,10200,323.72,2025-06-02,debit
50473,10023,125.61,2025-11-06,debit
50474,10303,89.78,2025-07-15,debit
50475,10346,22.95,2025-01-16,credit
50476,10302,417.39,2024-11-15,credit
50477,10363,305.72,2024-06-09,debit
50478,10396,36.81,2025-07-25,debit
50479,10218,143.59,2025-03-04,credit
50480,10141,133.64,2025-05-24,debit
50481,10104,196.21,2025-07-05,debit
50482,10446,584.45,2025-01-13,credit
50483,10210,173.39,2024-09-13,credit
50484,10473,155.4,2024-06-20,debit
50485,10481,10.33,2025-05-26,debit
50486,10111,12.99,2024-06-25,debit
50487,10104,41.49,2025-03-28,debit
50488,10316,6.6,2025-12-30,debit
50489,10171,272.01,2024-07-04,debit
50490,10460,256.99,2024-07-18,debit
50491,10492,29.25,2026-01-22,debit
50492,10356,361.67,2025-03-31,debit
50493,10496,33.63,2025-01-09,debit
50494,10324,71.67,2026-02-25,debit
50495,10133,57.26,2025-06-28,debit
50496,10376,93.14,2025-12-21,debit
50497,10293,58.78,2025-09-02,debit
50498,10328,134.26,2025-11-09,credit
50499,10127,104.65,2026-02-09,debit
50500,10106,862.05,2024-08-24,credit
50501,10497,11.51,2025-06-05,debit
50502,10092,30.67,2025-02-26,debit
50503,10287,10.85,2025-03-06,debit
50504,10378,196.61,2024-08-26,debit
50505,10393,11.21,2025-01-13,credit
50506,10051,362.11,2024-07-01,credit
50507,10029,143.46,2025-05-18,credit
50508,10462,149.74,2025-10-01,debit
50509,10296,164.92,2025-06-17,debit
50510,10297,37.46,2025-03-27,debit
50511,10214,44.05,2024-07-19,debit
50512,10267,76.78,2025-08-02,debit
50513,10407,180.03,2026-01-22,credit
50514,10257,47.17,2025-05-29,credit
50515,10302,24.73,2024-05-08,debit
50516,10101,702.09,2024-12-20,debit
50517,10405,4.45,2024-06-23,debit
50518,10346,324.6,2024-03-31,debit
50519,10110,310.27,2025-04-05,debit
50520,10420,70.54,2026-01-12,credit
50521,10182,29.15,2025-08-01,debit
50522,10471,31.48,2025-11-13,debit
50523,10313,239.09,2025-06-04,debit
50524,10001,205.9,2024-07-26,debit
50525,10319,305.34,2026-01-07,credit
50526,10438,554.46,2025-05-31,debit
50527,10055,235.48,2025-12-20,credit
50528,10371,33.89,2025-04-11,debit
50529,10424,55.8,2025-09-19,credit
50530,10399,369.28,2024-05-26,debit
50531,10149,46.97,2025-07-14,debit
50532,10431,15.06,2026-01-07,credit
50533,10457,242.99,2025-04-17,credit
50534,10309,103.01,2024-03-19,credit
50535,10137,505.25,2026-02-02,debit
50536,10202,210.11,2025-07-28,credit
50537,10436,18.95,2025-01-28,credit
50538,10313,590.75,2025-01-20,debit
50539,10117,59.83,2025-12-18,credit
50540,10154,82.26,2025-08-10,debit
50541,10425,102.92,2025-01-26,debit
50542,10291,10.52,2026-02-02,debit
50543,10063,137.24,2025-03-06,credit
50544,10244,26.32,2025-10-01,debit
50545,10025,102.49,2024-11-30,debit
50546,10090,86.38,2025-10-28,debit
50547,10075,296.42,2026-01-11,debit
50548,10294,325.08,2025-11-20,debit
50549,10386,33.31,2025-05-14,debit
50550,10391,91.32,2025-01-24,credit
50551,10210,93.47,2024-09-21,credit
50552,10475,32.84,2025-09-29,credit
50553,10418,320.35,2026-01-13,credit
50554,10347,245.67,2024-05-19,debit
50555,10017,42.24,2025-05-30,debit
50556,10128,91.37,2025-04-20,debit
50557,10427,22.37,2024-09-23,debit
50558,10443,197.88,2024-03-22,credit
50559,10364,25.88,2025-09-13,debit
50560,10251,852.8,2024-03-24,credit
50561,10179,303.45,2025-04-04,debit
50562,10182,98.94,2025-04-02,credit
50563,10152,172.82,2024-12-18,debit
50564,10025,484.59,2024-08-16,debit
50565,10455,161.53,2025-10-27,credit
50566,10180,38.35,2025-01-11,debit
50567,10198,95.19,2024-06-04,credit
50568,10344,370.49,2025-01-24,debit
50569,10161,206.68,2025-05-20,debit
50570,10177,210.38,2024-09-26,credit
50571,10285,403.21,2025-04-14,debit
50572,10063,448.81,2025-05-05,credit
50573,10491,504.63,2025-06-09,debit
50574,10150,19.93,2026-03-14,debit
50575,10154,157.11,2025-01-03,debit
50576,10156,269.81,2024-08-14,debit
50577,10370,282.88,2025-04-26,debit
50578,10469,186.64,2025-04-30,debit
50579,10049,36.49,2024-07-27,debit
50580,10455,319.32,2025-05-01,debit
50581,10337,254.67,2025-03-07,debit
50582,10084,18.01,2026-03-11,debit
50583,10361,124.65,2025-05-15,debit
50584,10177,38.23,2025-10-05,debit
50585,10148,82.34,2025-01-04,debit
50586,10118,3.65,2024-06-27,debit
50587,10342,102.28,2025-12-10,debit
50588,10476,159.65,2024-06-14,credit
50589,10063,193.3,2024-09-02,credit
50590,10189,217.83,2025-10-12,debit
50591,10360,361.93,2026-02-10,debit
50592,10049,48.53,2024-05-31,credit
50593,10327,25.68,2025-03-25,debit
50594,10257,381.48,2025-10-14,credit
50595,10224,34.07,2025-10-25,credit
50596,10141,735.87,2025-06-10,debit
50597,10478,369.71,2025-08-01,debit
50598,10215,138.98,2024-04-26,credit
50599,10435,797.15,2024-12-28,credit
50600,10379,20.49,2025-06-26,debit
50601,10440,72.21,2025-10-27,debit
50602,10211,203.35,2025-11-10,debit
50603,10318,86.16,2025-02-26,debit
50604,10032,527.26,2025-05-31,credit
50605,10158,13.58,2024-05-22,credit
50606,10285,159.44,2024-09-27,debit
50607,10305,178.74,2024-12-15,credit
50608,10429,211.53,2025-06-07,debit
50609,10477,59.05,2025-08-30,debit
50610,10286,90.69,2026-01-28,debit
50611,10144,371.17,2025-01-05,debit
50612,10424,43.37,2025-07-11,debit
50613,10019,350.74,2024-10-14,debit
50614,10018,165.41,2026-02-21,credit
50615,10257,287.25,2024-04-30,credit
50616,10078,250.08,2025-10-05,debit
50617,10371,46.52,2024-07-25,debit
50618,10175,168.24,2025-03-15,debit
50619,10498,404.57,2024-03-26,credit
50620,10194,113.17,2025-11-30,debit
50621,10476,679.78,2026-01-28,debit
50622,10113,120.37,2025-04-01,debit
50623,10114,30.81,2024-08-08,debit
50624,10222,98.67,2025-10-13,debit
50625,10166,606.07,2025-03-27,credit
50626,10435,77.05,2025-08-11,credit
50627,10319,405.14,2025-06-11,debit
50628,10132,426.15,2025-07-24,debit
50629,10385,86.21,2024-12-06,debit
50630,10264,17.39,2025-07-10,credit
50631,10413,257.88,2026-03-02,debit
50632,10055,74.65,2024-05-21,debit
50633,10359,305.5,2024-10-06,debit
50634,10131,116.91,2025-01-04,debit
50635,10288,132.82,2025-07-21,debit
50636,10266,300.93,2025-01-09,debit
50637,10458,96.37,2024-08-12,debit
50638,10467,117.08,2024-03-30,debit
50639,10366,94.38,2025-08-15,debit
50640,10162,91.56,2026-01-19,debit
50641,10380,149.29,2025-04-24,debit
50642,10481,330.89,2025-08-31,debit
50643,10087,89.81,2025-05-01,debit
50644,10055,148.57,2025-05-19,credit
50645,10476,222.17,2024-11-28,debit
50646,10288,62.79,2025-11-05,debit
50647,10178,65.01,2024-08-31,debit
50648,10391,541.85,2026-02-20,debit
50649,10349,257.13,2025-02-14,debit
50650,10008,172.16,2025-01-08,credit
50651,10321,208.67,2024-03-22,debit
50652,10313,5.95,2024-07-24,debit
50653,10247,192.52,2025-03-24,credit
50654,10323,142.47,2025-05-01,credit
50655,10472,157.82,2025-03-21,credit
50656,10471,89.08,2024-11-22,credit
50657,10443,17.0,2024-06-12,credit
50658,10255,42.97,2025-03-29,debit
50659,10328,602.15,2024-09-23,debit
50660,10054,105.09,2025-04-16,debit
50661,10249,125.73,2025-10-19,credit
50662,10239,10.83,2024-09-17,credit
50663,10229,7.66,2025-02-05,debit
50664,10067,252.59,2024-12-19,debit
50665,10051,154.48,2025-03-07,credit
50666,10097,142.14,2024-09-12,credit
50667,10092,55.71,2024-11-22,debit
50668,10495,273.1,2025-10-06,credit
50669,10264,36.84,2025-07-30,debit
50670,10418,42.13,2026-01-03,debit
50671,10291,123.5,2025-12-09,debit
50672,10096,67.45,2025-03-06,debit
50673,10088,56.86,2024-09-23,debit
50674,10078,207.26,2024-12-23,credit
50675,10288,210.52,2025-10-16,credit
50676,10120,348.04,2024-08-27,credit
50677,10302,108.16,2025-08-13,debit
50678,10491,15.18,2025-10-24,debit
50679,10400,63.95,2025-01-14,debit
50680,10452,782.46,2024-12-02,debit
50681,10500,181.4,2025-04-14,debit
50682,10165,247.39,2025-08-13,debit
50683,10182,1.48,2024-09-27,debit
50684,10469,146.05,2024-10-15,credit
50685,10398,7.65,2025-01-04,debit
50686,10223,168.44,2025-09-17,credit
50687,10311,507.08,2024-11-23,debit
50688,10432,691.04,2025-04-28,credit
50689,10466,155.55,2024-07-27,debit
50690,10007,122.57,2024-11-03,debit
50691,10330,580.15,2024-08-25,debit
50692,10263,223.93,2025-05-12,credit
50693,10161,13.42,2024-07-30,debit
50694,10151,125.37,2025-09-15,debit
50695,10085,54.95,2026-01-28,credit
50696,10147,126.9,2024-08-05,debit
50697,10112,121.56,2025-09-08,debit
